"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 09:13:19 GMT 2024","Thu Jun 06 09:13:19 GMT 2024","677","chromium","APITest.spec.js","Booking - GetBookingIds","","","Booking - GetBookingIds",""
"failed","Thu Jun 06 09:13:21 GMT 2024","Thu Jun 06 09:13:22 GMT 2024","692","chromium","APITest.spec.js","Booking - GetBookingIds","","","Booking - DeleteBooking",""
