"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 13:10:59 GMT 2024","Fri Jun 14 13:10:59 GMT 2024","190","chromium","APITest.spec.js","Booking - GetBookingIds","","","Booking - GetBookingIds",""
"passed","Fri Jun 14 13:10:59 GMT 2024","Fri Jun 14 13:10:59 GMT 2024","128","chromium","APITest.spec.js","Booking - GetBookingIds","","","Booking - DeleteBooking",""
