"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 10:16:36 GMT 2024","Thu Jun 06 10:16:37 GMT 2024","292","chromium","APITest.spec.js","Booking - GetBookingIds","","","Booking - DeleteBooking",""
"passed","Thu Jun 06 10:16:36 GMT 2024","Thu Jun 06 10:16:36 GMT 2024","368","chromium","APITest.spec.js","Booking - GetBookingIds","","","Booking - GetBookingIds",""
