"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 05 08:49:11 GMT 2024","Wed Jun 05 08:49:12 GMT 2024","150","chromium","APITest.spec.js","Booking - GetBookingIds","","","Booking - GetBookingIds",""
"passed","Wed Jun 05 08:49:12 GMT 2024","Wed Jun 05 08:49:12 GMT 2024","79","chromium","APITest.spec.js","Booking - GetBookingIds","","","Booking - DeleteBooking",""
