"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 09:54:25 GMT 2024","Thu Jun 06 09:54:25 GMT 2024","613","chromium","APITest.spec.js","Booking - GetBookingIds","","","Booking - DeleteBooking",""
"passed","Thu Jun 06 09:54:24 GMT 2024","Thu Jun 06 09:54:25 GMT 2024","737","chromium","APITest.spec.js","Booking - GetBookingIds","","","Booking - GetBookingIds",""
