"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 04 17:47:38 GMT 2024","Tue Jun 04 17:47:39 GMT 2024","626","chromium","APITest.spec.js","Booking - GetBookingIds","","","Booking - DeleteBooking",""
"passed","Tue Jun 04 17:47:37 GMT 2024","Tue Jun 04 17:47:38 GMT 2024","770","chromium","APITest.spec.js","Booking - GetBookingIds","","","Booking - GetBookingIds",""
