"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 05 07:51:53 GMT 2024","Wed Jun 05 07:51:53 GMT 2024","138","chromium","APITest.spec.js","Booking - GetBookingIds","","","Booking - GetBookingIds",""
"passed","Wed Jun 05 07:51:53 GMT 2024","Wed Jun 05 07:51:53 GMT 2024","81","chromium","APITest.spec.js","Booking - GetBookingIds","","","Booking - DeleteBooking",""
