"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 09:19:15 GMT 2024","Thu Jun 06 09:19:15 GMT 2024","279","chromium","APITest.spec.js","Booking - GetBookingIds","","","Booking - DeleteBooking",""
"passed","Thu Jun 06 09:19:14 GMT 2024","Thu Jun 06 09:19:15 GMT 2024","378","chromium","APITest.spec.js","Booking - GetBookingIds","","","Booking - GetBookingIds",""
